Reservation Years,Node type,RI upfront fee,RI monthly fees*,RI effective hourly rate**,Savings over On-Demand,On-Demand rate
1 year,cache.t4g.micro,0.000,8.030,0.011,0.310,0.016
1 year,cache.t4g.small,0.000,16.060,0.022,0.310,0.032
1 year,cache.t4g.medium,0.000,32.120,0.044,0.320,0.065
1 year,cache.t3.micro,0.000,8.760,0.012,0.290,0.017
1 year,cache.t3.small,0.000,16.790,0.023,0.320,0.034
1 year,cache.t3.medium,0.000,33.580,0.046,0.320,0.068
1 year,cache.m6g.large,0.000,74.460,0.102,0.320,0.149
1 year,cache.m6g.xlarge,0.000,148.190,0.203,0.320,0.297
1 year,cache.m6g.2xlarge,0.000,295.650,0.405,0.320,0.593
1 year,cache.m6g.4xlarge,0.000,591.300,0.810,0.320,1.186
1 year,cache.m6g.8xlarge,0.000,1181.870,1.619,0.320,2.372
1 year,cache.m6g.12xlarge,0.000,1772.440,2.428,0.320,3.557
1 year,cache.m6g.16xlarge,0.000,2363.010,3.237,0.320,4.743
1 year,cache.m5.large,0.000,77.380,0.106,0.320,0.156
1 year,cache.m5.xlarge,0.000,155.490,0.213,0.320,0.311
1 year,cache.m5.2xlarge,0.000,310.980,0.426,0.320,0.623
1 year,cache.m5.4xlarge,0.000,621.960,0.852,0.320,1.245
1 year,cache.m5.12xlarge,0.000,1865.150,2.555,0.320,3.744
1 year,cache.m5.24xlarge,0.000,3731.030,5.111,0.320,7.488
1 year,cache.r6g.large,0.000,102.930,0.141,0.320,0.206
1 year,cache.r6g.xlarge,0.000,205.130,0.281,0.320,0.411
1 year,cache.r6g.2xlarge,0.000,409.530,0.561,0.320,0.821
1 year,cache.r6g.4xlarge,0.000,818.330,1.121,0.320,1.642
1 year,cache.r6g.8xlarge,0.000,1635.930,2.241,0.320,3.284
1 year,cache.r6g.12xlarge,0.000,2454.260,3.362,0.320,4.925
1 year,cache.r6g.16xlarge,0.000,3271.860,4.482,0.320,6.567
1 year,cache.r6gd.xlarge,0.000,387.630,0.531,0.320,0.781
1 year,cache.r6gd.2xlarge,0.000,774.530,1.061,0.320,1.560
1 year,cache.r6gd.4xlarge,0.000,1548.330,2.121,0.320,3.120
1 year,cache.r6gd.8xlarge,0.000,3097.390,4.243,0.320,6.240
1 year,cache.r6gd.12xlarge,0.000,4644.990,6.363,0.320,9.358
1 year,cache.r6gd.16xlarge,0.000,6194.050,8.485,0.320,12.477
1 year,cache.r5.large,0.000,107.310,0.147,0.320,0.216
1 year,cache.r5.xlarge,0.000,215.350,0.295,0.320,0.431
1 year,cache.r5.2xlarge,0.000,430.700,0.590,0.320,0.862
1 year,cache.r5.4xlarge,0.000,860.670,1.179,0.320,1.724
1 year,cache.r5.12xlarge,0.000,2582.740,3.538,0.320,5.184
1 year,cache.r5.24xlarge,0.000,5165.480,7.076,0.320,10.368
3 year,cache.t4g.micro,0.000,5.840,0.008,0.500,0.016
3 year,cache.t4g.small,0.000,12.410,0.017,0.470,0.032
3 year,cache.t4g.medium,0.000,24.820,0.034,0.480,0.065
3 year,cache.t3.micro,0.000,6.570,0.009,0.470,0.017
3 year,cache.t3.small,0.000,13.140,0.018,0.470,0.034
3 year,cache.t3.medium,0.000,25.550,0.035,0.490,0.068
3 year,cache.m6g.large,0.000,56.210,0.077,0.480,0.149
3 year,cache.m6g.xlarge,0.000,112.420,0.154,0.480,0.297
3 year,cache.m6g.2xlarge,0.000,224.840,0.308,0.480,0.593
3 year,cache.m6g.4xlarge,0.000,448.950,0.615,0.480,1.186
3 year,cache.m6g.8xlarge,0.000,897.900,1.230,0.480,2.372
3 year,cache.m6g.12xlarge,0.000,1346.120,1.844,0.480,3.557
3 year,cache.m6g.16xlarge,0.000,1795.070,2.459,0.480,4.743
3 year,cache.m5.large,0.000,59.130,0.081,0.480,0.156
3 year,cache.m5.xlarge,0.000,118.260,0.162,0.480,0.311
3 year,cache.m5.2xlarge,0.000,235.790,0.323,0.480,0.623
3 year,cache.m5.4xlarge,0.000,472.310,0.647,0.480,1.245
3 year,cache.m5.12xlarge,0.000,1416.930,1.941,0.480,3.744
3 year,cache.m5.24xlarge,0.000,2833.860,3.882,0.480,7.488
3 year,cache.r6g.large,0.000,78.110,0.107,0.480,0.206
3 year,cache.r6g.xlarge,0.000,155.490,0.213,0.480,0.411
3 year,cache.r6g.2xlarge,0.000,310.980,0.426,0.480,0.821
3 year,cache.r6g.4xlarge,0.000,621.960,0.852,0.480,1.642
3 year,cache.r6g.8xlarge,0.000,1243.190,1.703,0.480,3.284
3 year,cache.r6g.12xlarge,0.000,1864.420,2.554,0.480,4.925
3 year,cache.r6g.16xlarge,0.000,2485.650,3.405,0.480,6.567
3 year,cache.r6gd.xlarge,0.000,296.380,0.406,0.480,0.781
3 year,cache.r6gd.2xlarge,0.000,592.030,0.811,0.480,1.560
3 year,cache.r6gd.4xlarge,0.000,1184.060,1.622,0.480,3.120
3 year,cache.r6gd.8xlarge,0.000,2368.850,3.245,0.480,6.240
3 year,cache.r6gd.12xlarge,0.000,3552.180,4.866,0.480,9.358
3 year,cache.r6gd.16xlarge,0.000,4736.240,6.488,0.480,12.477
3 year,cache.r5.large,0.000,81.760,0.112,0.480,0.216
3 year,cache.r5.xlarge,0.000,163.520,0.224,0.480,0.431
3 year,cache.r5.2xlarge,0.000,327.040,0.448,0.480,0.862
3 year,cache.r5.4xlarge,0.000,654.080,0.896,0.480,1.724
3 year,cache.r5.12xlarge,0.000,1961.510,2.687,0.480,5.184
3 year,cache.r5.24xlarge,0.000,3923.750,5.375,0.480,10.368